cid,pid,rank
c1,p531,1
c1,p448,2
c1,p580,3
c1,p2949,4
c1,p3031,5
c1,p409,6
c1,p692,7
c1,p251,8
c1,p220,9
c1,p324,10
c1,p3028,11
c1,p922,12
c1,p193,13
c1,p2975,14
c1,p809,15
c1,p156,16
c1,p109,17
c1,p2866,18
c1,p557,19
c1,p3140,20
c10,p2987,1
c10,p80,2
c10,p59,3
c10,p2866,4
c10,p60,5
c10,p242,6
c10,p2807,7
c10,p270,8
c10,p428,9
c10,p3390,10
c10,p2806,11
c10,p863,12
c10,p632,13
c10,p2873,14
c10,p70,15
c10,p271,16
c10,p2949,17
c10,p1294,18
c10,p1296,19
c10,p17,20
c1000,p189,1
c1000,p502,2
c1000,p1056,3
c1000,p177,4
c1000,p1012,5
c1000,p382,6
c1000,p1260,7
c1000,p68,8
c1000,p190,9
c1000,p67,10
c1000,p315,11
c1000,p362,12
c1000,p124,13
c1000,p39,14
c1000,p3151,15
c1000,p66,16
c1000,p1171,17
c1000,p317,18
c1000,p1272,19
c1000,p1378,20
c1001,p3332,1
c1001,p3324,2
c1001,p3155,3
c1001,p552,4
c1001,p850,5
c1001,p1029,6
c1001,p1721,7
c1001,p384,8
c1001,p301,9
c1001,p34,10
c1001,p2640,11
c1001,p3325,12
c1001,p400,13
c1001,p308,14
c1001,p223,15
c1001,p2988,16
c1001,p315,17
c1001,p35,18
c1001,p153,19
c1001,p3371,20
c1002,p3472,1
c1002,p3712,2
c1002,p3371,3
c1002,p3379,4
c1002,p3299,5
c1002,p1411,6
c1002,p2209,7
c1002,p3534,8
c1002,p659,9
c1002,p27,10
c1002,p32,11
c1002,p3336,12
c1002,p3541,13
c1002,p162,14
c1002,p428,15
c1002,p3377,16
c1002,p3372,17
c1002,p28,18
c1002,p131,19
c1002,p3267,20
c1003,p45,1
c1003,p177,2
c1003,p153,3
c1003,p35,4
c1003,p3324,5
c1003,p28,6
c1003,p3332,7
c1003,p2853,8
c1003,p65,9
c1003,p240,10
c1003,p3133,11
c1003,p66,12
c1003,p2669,13
c1003,p136,14
c1003,p1311,15
c1003,p820,16
c1003,p2583,17
c1003,p2313,18
c1003,p543,19
c1003,p968,20
c1004,p3379,1
c1004,p877,2
c1004,p2806,3
c1004,p1853,4
c1004,p3229,5
c1004,p340,6
c1004,p270,7
c1004,p277,8
c1004,p3558,9
c1004,p3161,10
c1004,p372,11
c1004,p808,12
c1004,p242,13
c1004,p557,14
c1004,p1219,15
c1004,p297,16
c1004,p2866,17
c1004,p820,18
c1004,p280,19
c1004,p793,20
c1005,p70,1
c1005,p94,2
c1005,p124,3
c1005,p2703,4
c1005,p313,5
c1005,p2057,6
c1005,p267,7
c1005,p151,8
c1005,p268,9
c1005,p1029,10
c1005,p570,11
c1005,p21,12
c1005,p476,13
c1005,p71,14
c1005,p298,15
c1005,p147,16
c1005,p294,17
c1005,p2987,18
c1005,p2056,19
c1005,p3184,20
c1006,p276,1
c1006,p1305,2
c1006,p3161,3
c1006,p796,4
c1006,p327,5
c1006,p1516,6
c1006,p173,7
c1006,p168,8
c1006,p2712,9
c1006,p69,10
c1006,p2716,11
c1006,p3531,12
c1006,p659,13
c1006,p122,14
c1006,p303,15
c1006,p793,16
c1006,p371,17
c1006,p552,18
c1006,p1683,19
c1006,p54,20
c1007,p1095,1
c1007,p1773,2
c1007,p371,3
c1007,p925,4
c1007,p1012,5
c1007,p1124,6
c1007,p190,7
c1007,p1056,8
c1007,p881,9
c1007,p502,10
c1007,p688,11
c1007,p503,12
c1007,p1171,13
c1007,p592,14
c1007,p177,15
c1007,p382,16
c1007,p1272,17
c1007,p587,18
c1007,p1222,19
c1007,p35,20
c1009,p428,1
c1009,p916,2
c1009,p3155,3
c1009,p131,4
c1009,p3012,5
c1009,p0,6
c1009,p3177,7
c1009,p170,8
c1009,p2949,9
c1009,p177,10
c1009,p109,11
c1009,p2712,12
c1009,p1219,13
c1009,p580,14
c1009,p155,15
c1009,p3136,16
c1009,p310,17
c1009,p3535,18
c1009,p319,19
c1009,p171,20
c101,p150,1
c101,p2788,2
c101,p276,3
c101,p454,4
c101,p46,5
c101,p21,6
c101,p3116,7
c101,p604,8
c101,p161,9
c101,p603,10
c101,p300,11
c101,p940,12
c101,p110,13
c101,p1221,14
c101,p428,15
c101,p745,16
c101,p1219,17
c101,p286,18
c101,p344,19
c101,p162,20
c1010,p241,1
c1010,p2868,2
c1010,p66,3
c1010,p67,4
c1010,p350,5
c1010,p820,6
c1010,p370,7
c1010,p2873,8
c1010,p372,9
c1010,p62,10
c1010,p620,11
c1010,p1260,12
c1010,p2987,13
c1010,p68,14
c1010,p3697,15
c1010,p151,16
c1010,p75,17
c1010,p124,18
c1010,p1016,19
c1010,p1034,20
c1011,p66,1
c1011,p131,2
c1011,p1294,3
c1011,p3428,4
c1011,p242,5
c1011,p350,6
c1011,p57,7
c1011,p193,8
c1011,p2668,9
c1011,p46,10
c1011,p192,11
c1011,p55,12
c1011,p340,13
c1011,p122,14
c1011,p21,15
c1011,p3389,16
c1011,p124,17
c1011,p604,18
c1011,p490,19
c1011,p484,20
c1012,p221,1
c1012,p380,2
c1012,p1080,3
c1012,p782,4
c1012,p484,5
c1012,p2096,6
c1012,p2138,7
c1012,p1079,8
c1012,p270,9
c1012,p271,10
c1012,p3409,11
c1012,p435,12
c1012,p214,13
c1012,p2685,14
c1012,p832,15
c1012,p115,16
c1012,p3428,17
c1012,p634,18
c1012,p1294,19
c1012,p1397,20
c1014,p3168,1
c1014,p195,2
c1014,p170,3
c1014,p51,4
c1014,p161,5
c1014,p3184,6
c1014,p194,7
c1014,p694,8
c1014,p242,9
c1014,p346,10
c1014,p3267,11
c1014,p348,12
c1014,p604,13
c1014,p382,14
c1014,p3194,15
c1014,p1147,16
c1014,p3407,17
c1014,p271,18
c1014,p2975,19
c1014,p1069,20
c1015,p75,1
c1015,p2867,2
c1015,p271,3
c1015,p2668,4
c1015,p270,5
c1015,p2669,6
c1015,p240,7
c1015,p59,8
c1015,p66,9
c1015,p2661,10
c1015,p1034,11
c1015,p422,12
c1015,p787,13
c1015,p2865,14
c1015,p2869,15
c1015,p2852,16
c1015,p362,17
c1015,p2868,18
c1015,p21,19
c1015,p153,20
c1016,p794,1
c1016,p281,2
c1016,p496,3
c1016,p1214,4
c1016,p3031,5
c1016,p786,6
c1016,p2342,7
c1016,p3019,8
c1016,p822,9
c1016,p154,10
c1016,p357,11
c1016,p796,12
c1016,p495,13
c1016,p563,14
c1016,p231,15
c1016,p624,16
c1016,p1219,17
c1016,p2703,18
c1016,p276,19
c1016,p447,20
c1017,p3140,1
c1017,p878,2
c1017,p1177,3
c1017,p340,4
c1017,p1006,5
c1017,p337,6
c1017,p267,7
c1017,p508,8
c1017,p3155,9
c1017,p363,10
c1017,p242,11
c1017,p61,12
c1017,p271,13
c1017,p21,14
c1017,p2866,15
c1017,p2808,16
c1017,p266,17
c1017,p716,18
c1017,p2985,19
c1017,p632,20
c1018,p974,1
c1018,p2788,2
c1018,p319,3
c1018,p2975,4
c1018,p311,5
c1018,p1006,6
c1018,p356,7
c1018,p2823,8
c1018,p326,9
c1018,p325,10
c1018,p366,11
c1018,p909,12
c1018,p322,13
c1018,p1641,14
c1018,p3446,15
c1018,p315,16
c1018,p289,17
c1018,p368,18
c1018,p2712,19
c1018,p872,20
c1019,p3184,1
c1019,p372,2
c1019,p66,3
c1019,p271,4
c1019,p270,5
c1019,p241,6
c1019,p242,7
c1019,p1546,8
c1019,p552,9
c1019,p931,10
c1019,p764,11
c1019,p3390,12
c1019,p570,13
c1019,p3170,14
c1019,p235,15
c1019,p2668,16
c1019,p9,17
c1019,p34,18
c1019,p942,19
c1019,p282,20
c102,p9,1
c102,p134,2
c102,p430,3
c102,p1017,4
c102,p348,5
c102,p2975,6
c102,p17,7
c102,p1219,8
c102,p415,9
c102,p109,10
c102,p429,11
c102,p917,12
c102,p16,13
c102,p486,14
c102,p580,15
c102,p344,16
c102,p714,17
c102,p2037,18
c102,p980,19
c102,p1675,20
c1020,p3155,1
c1020,p124,2
c1020,p2057,3
c1020,p580,4
c1020,p403,5
c1020,p91,6
c1020,p3168,7
c1020,p270,8
c1020,p46,9
c1020,p90,10
c1020,p242,11
c1020,p3229,12
c1020,p1340,13
c1020,p174,14
c1020,p21,15
c1020,p635,16
c1020,p54,17
c1020,p370,18
c1020,p389,19
c1020,p282,20
c1021,p3390,1
c1021,p1294,2
c1021,p3389,3
c1021,p271,4
c1021,p59,5
c1021,p270,6
c1021,p2668,7
c1021,p242,8
c1021,p2866,9
c1021,p632,10
c1021,p3698,11
c1021,p75,12
c1021,p2807,13
c1021,p76,14
c1021,p508,15
c1021,p70,16
c1021,p715,17
c1021,p60,18
c1021,p78,19
c1021,p907,20
c1022,p3065,1
c1022,p3777,2
c1022,p583,3
c1022,p192,4
c1022,p103,5
c1022,p335,6
c1022,p4,7
c1022,p3531,8
c1022,p3624,9
c1022,p47,10
c1022,p324,11
c1022,p2808,12
c1022,p1868,13
c1022,p423,14
