cid,pid,quantity
c1,p3508,1
c1,p3507,1
c1,p315,1
c1,p2707,1
c1,p9,2
c1,p25,3
c1,p24,1
c1,p14,5
c1,p16,2
c1,p15,3
c1,p3576,1
c1,p359,1
c1,p360,1
c1,p3157,2
c1,p1038,2
c1,p20,3
c1,p1627,1
c1,p1974,1
c1,p3212,2
c1,p3214,1
c1,p3211,2
c1,p3213,2
c1,p3283,1
c1,p2978,1
c1,p3539,1
c1,p3551,1
c1,p3553,1
c1,p322,1
c1,p2716,2
c1,p12,2
c1,p2974,1
c1,p3467,1
c1,p1863,2
c1,p540,3
c1,p3062,1
c1,p17,4
c1,p131,1
c1,p13,1
c1,p2913,2
c1,p77,1
c1,p21,5
c1,p998,4
c1,p997,2
c1,p995,2
c1,p1081,4
c1,p3083,1
c1,p18,5
c1,p521,1
c1,p1252,1
c1,p3338,1
c1,p3264,1
c1,p607,1
c1,p878,1
c1,p1102,1
c1,p46,1
c1,p3046,2
c1,p3023,1
c1,p3030,2
c1,p3048,2
c1,p1219,3
c1,p3024,1
c1,p199,1
c1,p201,1
c1,p460,4
c1,p10,2
c1,p11,2
c1,p22,1
c1,p2976,2
c1,p2969,1
c1,p428,2
c1,p3012,1
c1,p2948,2
c1,p2977,2
c1,p2954,2
c1,p3014,2
c1,p338,1
c1,p203,1
c1,p1555,1
c1,p3332,1
c1,p2058,5
c1,p3155,3
c1,p3149,2
c1,p3325,1
c1,p2057,3
c1,p3038,2
c1,p3642,1
c1,p391,1
c1,p2701,4
c1,p1853,1
c1,p2641,2
c1,p2654,2
c1,p2704,1
c1,p429,1
c1,p0,2
c1,p525,1
c1,p877,1
c1,p2430,4
c1,p1770,4
c1,p1125,4
c1,p3147,2
c1,p3346,2
c1,p23,1
c2,p40,2
c2,p2768,1
c2,p882,1
c2,p1005,1
c2,p3240,1
c2,p929,1
c2,p363,2
c2,p28,7
c2,p180,1
c2,p181,4
c2,p26,8
c2,p27,7
c2,p774,1
c2,p795,1
c2,p1106,3
c2,p307,1
c2,p1993,4
c2,p38,1
c2,p1019,2
c2,p360,2
c2,p1069,2
c2,p2771,1
c2,p37,2
c2,p3064,1
c2,p3511,2
c2,p3552,1
c2,p3499,1
c2,p636,1
c2,p3005,2
c2,p3020,2
c2,p2648,3
c2,p107,1
c2,p306,1
c2,p2767,1
c2,p3438,2
c2,p31,3
c2,p36,3
c2,p68,2
c2,p42,9
c2,p556,4
c2,p43,5
c2,p3684,3
c2,p44,10
c2,p3548,1
c2,p3559,1
c2,p566,2
c2,p357,2
c2,p567,2
c2,p562,2
c2,p936,2
c2,p1740,1
c2,p934,2
c2,p935,2
c2,p362,2
c2,p267,2
c2,p177,4
c2,p29,1
c2,p878,4
c2,p3739,2
c2,p94,1
c2,p1382,3
c2,p552,10
c2,p371,5
c2,p553,4
c2,p372,6
c2,p3184,5
c2,p45,15
c2,p3019,5
c2,p779,2
c2,p1016,4
c2,p747,2
c2,p336,2
c2,p865,1
c2,p308,1
c2,p1121,2
c2,p3374,1
c2,p39,6
c2,p400,3
c2,p941,6
c2,p754,1
c2,p1230,1
c2,p430,1
c2,p303,1
c2,p34,8
c2,p3543,2
c2,p3533,3
c2,p3404,1
c2,p340,1
c2,p263,1
c2,p3776,1
c2,p294,3
c2,p422,4
c2,p33,1
c2,p153,8
c2,p154,8
c2,p65,8
c2,p3032,1
c2,p933,1
c2,p938,1
c2,p151,4
c2,p35,3
c2,p3512,4
c2,p2975,4
c2,p30,2
c2,p67,4
c2,p3687,1
c2,p3434,1
