cid,pid,rank
c1,p428,1
c1,p124,2
c1,p177,3
c1,p2975,4
c1,p66,5
c1,p604,6
c1,p134,7
c1,p240,8
c1,p270,9
c1,p78,10
c1,p580,11
c1,p2313,12
c1,p242,13
c1,p271,14
c1,p344,15
c1,p150,16
c1,p3428,17
c1,p3019,18
c1,p2640,19
c1,p349,20
c10,p428,1
c10,p0,2
c10,p1219,3
c10,p124,4
c10,p177,5
c10,p2975,6
c10,p2058,7
c10,p9,8
c10,p46,9
c10,p66,10
c10,p604,11
c10,p134,12
c10,p240,13
c10,p3155,14
c10,p270,15
c10,p78,16
c10,p580,17
c10,p2313,18
c10,p242,19
c10,p271,20
c1000,p428,1
c1000,p0,2
c1000,p1219,3
c1000,p124,4
c1000,p177,5
c1000,p2975,6
c1000,p2058,7
c1000,p9,8
c1000,p46,9
c1000,p66,10
c1000,p604,11
c1000,p134,12
c1000,p77,13
c1000,p240,14
c1000,p3155,15
c1000,p270,16
c1000,p78,17
c1000,p580,18
c1000,p271,19
c1000,p344,20
c1001,p0,1
c1001,p124,2
c1001,p177,3
c1001,p2975,4
c1001,p2058,5
c1001,p9,6
c1001,p46,7
c1001,p66,8
c1001,p604,9
c1001,p134,10
c1001,p240,11
c1001,p3155,12
c1001,p270,13
c1001,p78,14
c1001,p2313,15
c1001,p242,16
c1001,p271,17
c1001,p344,18
c1001,p150,19
c1001,p3428,20
c1002,p428,1
c1002,p0,2
c1002,p1219,3
c1002,p124,4
c1002,p2975,5
c1002,p2058,6
c1002,p66,7
c1002,p604,8
c1002,p134,9
c1002,p21,10
c1002,p77,11
c1002,p240,12
c1002,p3155,13
c1002,p270,14
c1002,p78,15
c1002,p580,16
c1002,p2313,17
c1002,p242,18
c1002,p271,19
c1002,p344,20
c1003,p428,1
c1003,p0,2
c1003,p1219,3
c1003,p177,4
c1003,p2975,5
c1003,p9,6
c1003,p46,7
c1003,p66,8
c1003,p134,9
c1003,p21,10
c1003,p77,11
c1003,p240,12
c1003,p3155,13
c1003,p270,14
c1003,p78,15
c1003,p580,16
c1003,p2313,17
c1003,p242,18
c1003,p271,19
c1003,p344,20
c1004,p428,1
c1004,p0,2
c1004,p1219,3
c1004,p2058,4
c1004,p9,5
c1004,p46,6
c1004,p604,7
c1004,p21,8
c1004,p240,9
c1004,p3155,10
c1004,p270,11
c1004,p78,12
c1004,p580,13
c1004,p2313,14
c1004,p242,15
c1004,p271,16
c1004,p150,17
c1004,p3428,18
c1004,p3019,19
c1004,p2640,20
c1005,p428,1
c1005,p0,2
c1005,p124,3
c1005,p2975,4
c1005,p2058,5
c1005,p9,6
c1005,p46,7
c1005,p66,8
c1005,p604,9
c1005,p134,10
c1005,p21,11
c1005,p77,12
c1005,p240,13
c1005,p3155,14
c1005,p270,15
c1005,p78,16
c1005,p580,17
c1005,p2313,18
c1005,p242,19
c1005,p271,20
c1006,p428,1
c1006,p0,2
c1006,p1219,3
c1006,p124,4
c1006,p177,5
c1006,p2975,6
c1006,p2058,7
c1006,p9,8
c1006,p46,9
c1006,p66,10
c1006,p134,11
c1006,p21,12
c1006,p77,13
c1006,p3155,14
c1006,p270,15
c1006,p78,16
c1006,p580,17
c1006,p242,18
c1006,p271,19
c1006,p344,20
c1007,p428,1
c1007,p0,2
c1007,p1219,3
c1007,p124,4
c1007,p177,5
c1007,p2975,6
c1007,p2058,7
c1007,p9,8
c1007,p46,9
c1007,p66,10
c1007,p604,11
c1007,p134,12
c1007,p21,13
c1007,p77,14
